g 1024
e 138 598 3
e 152 598 17
e 393 598 12
e 590 598 7
e 125 598 1
e 532 598 1
e 598 598 17
e 643 598 -3
e 391 598 6
e 455 598 -9
e 697 598 -9
e 1011 598 10
e 449 598 12
e 919 598 19
e 720 598 10
e 149 598 9
e 1002 598 -10
e 304 598 17
e 666 598 14
e 358 598 -7
e 483 598 2
e 128 598 -2
e 121 598 -5
e 231 598 9
e 818 598 -7
e 569 598 -5
e 951 598 7
e 412 598 -1
e 895 598 0
e 83 598 1
e 766 598 -4
e 143 598 8
e 281 598 16
e 135 598 16
e 734 598 2
e 970 598 15
e 882 598 -8
e 724 598 -9
e 74 598 -7
e 224 598 14
e 414 598 20
e 1022 598 3
e 795 598 18
e 869 598 13
e 217 598 -5
e 10 598 -7
e 140 598 16
e 882 598 2
e 766 598 -3
e 196 598 15
e 445 598 6
e 34 598 13
e 272 598 -6
e 57 598 4
e 560 598 -4
e 535 598 12
e 437 598 5
e 829 598 9
e 591 598 2
e 106 599 10
e 199 599 -3
e 516 599 -6
e 397 599 2
e 842 599 0
e 677 599 18
e 189 599 18
e 301 599 2
e 531 599 7
e 309 599 7
e 894 599 15
e 292 599 -4
e 49 599 2
e 86 599 -9
e 545 599 2
e 266 599 17
e 776 599 19
e 380 599 19
e 688 599 12
e 78 599 -10
e 622 599 4
e 44 599 0
e 492 599 1
e 688 599 10
e 300 599 -10
e 643 599 17
e 970 599 0
e 198 599 7
e 386 599 17
e 432 599 2
e 1009 599 4
e 120 599 2
e 416 599 3
e 629 599 15
e 574 599 -4
e 388 599 -3
e 45 599 14
e 426 599 19
e 833 599 6
e 506 599 -3
e 196 599 19
e 185 599 19
e 189 599 -5
e 705 599 19
e 113 599 11
e 547 599 -6
e 555 599 -2
e 16 599 7
e 569 599 19
e 506 599 15
e 311 599 -2
e 502 599 5
e 912 599 -8
e 613 599 -1
e 577 599 11
e 211 599 9
e 224 599 -2
e 31 599 19
e 221 599 -2
e 476 599 -1
e 521 599 -5
e 760 599 7
e 84 599 19
e 923 599 20
e 731 599 9
e 594 599 4
e 34 599 -2
e 621 599 -5
e 925 599 2
e 422 599 2
e 118 599 14
e 259 599 0
e 394 599 -1
e 253 599 13
e 693 599 4
e 225 599 7
e 847 599 -8
e 375 599 4
e 502 599 2
e 738 599 -7
e 398 599 15
e 455 599 18
e 903 599 6
e 945 599 9
e 862 599 -8
e 692 599 17
e 871 599 11
e 81 599 20
e 713 599 6
e 922 599 10
e 202 599 4
e 45 600 -1
e 1010 600 -9
e 648 600 1
e 64 600 1
e 632 600 18
e 894 600 10
e 720 600 8
e 47 600 17
e 83 600 2
e 74 600 14
e 199 600 12
e 235 600 -8
e 76 600 3
e 585 600 12
e 236 600 7
e 1000 600 1
e 115 600 4
e 272 600 1
e 129 600 -4
e 958 601 -10
e 329 601 14
e 803 601 -9
e 480 601 2
e 960 601 19
e 539 601 -1
e 859 601 20
e 414 601 14
e 874 601 2
e 807 601 -5
e 820 601 18
e 976 601 16
e 308 601 -10
e 910 601 5
e 958 601 3
e 766 601 20
e 229 601 20
e 609 601 14
e 411 601 7
e 484 601 1
e 26 601 14
e 806 601 19
e 387 601 2
e 1012 601 3
e 709 601 4
e 599 601 -8
e 193 601 9
e 464 601 3
e 940 601 3
e 482 601 11
e 436 601 -4
e 465 601 -9
e 230 601 -3
e 426 601 12
e 79 601 4
e 131 601 -5
e 97 601 5
e 4 601 -5
e 665 601 16
e 294 601 15
e 95 601 19
e 571 601 -4
e 302 601 -7
e 559 601 20
e 1012 601 12
e 269 601 -10
e 956 601 7
e 452 601 -8
e 906 601 2
e 300 601 3
e 390 601 5
e 580 601 -10
e 349 601 9
e 958 601 10
e 485 601 7
e 701 601 7
e 512 601 10
e 733 601 3
e 134 602 10
e 176 602 18
e 770 602 17
e 797 603 6
e 608 603 9
e 153 603 -3
e 751 603 18
e 906 603 19
e 943 603 13
e 982 603 15
e 346 603 5
e 686 603 0
e 576 603 -4
e 367 603 -1
e 68 603 -10
e 966 603 -7
e 39 603 14
e 280 603 4
e 521 603 19
e 289 603 9
e 812 603 -7
e 987 603 5
e 252 603 10
e 161 603 7
e 332 603 -9
e 148 603 11
e 995 603 -10
e 62 603 4
e 311 603 19
e 117 603 9
e 301 604 8
e 342 604 -8
e 307 604 20
e 603 604 -8
e 683 604 16
e 799 604 15
e 607 604 18
e 213 604 19
e 578 604 11
e 301 604 0
e 678 604 -9
e 297 604 6
e 943 604 9
e 557 604 -3
e 776 604 -10
e 341 604 10
e 468 604 -1
e 266 604 16
e 744 604 -3
e 216 604 18
e 311 604 17
e 890 604 5
e 653 604 10
e 823 604 15
e 641 604 10
e 114 604 3
e 421 604 10
e 636 604 3
e 255 604 17
e 684 604 1
e 445 604 -5
e 434 604 16
e 292 604 9
e 808 604 11
e 202 604 18
e 874 604 -8
e 773 604 12
e 936 604 -6
e 931 604 6
e 57 604 10
e 219 604 -10
e 306 604 -2
e 132 604 -1
e 312 604 17
e 389 604 5
e 658 604 8
e 397 604 2
e 642 604 11
e 772 604 10
e 726 604 18
e 833 604 19
e 442 604 -10
e 253 604 -2
e 976 604 -9
e 775 604 2
e 131 604 -8
e 826 604 7
e 152 604 3
e 429 604 16
e 773 604 16
e 41 604 1
e 7 604 13
e 480 604 18
e 623 604 11
e 859 604 17
e 828 604 -6
e 693 604 -9
e 879 604 -6
e 7 604 4
e 27 604 15
e 547 604 10
e 188 604 6
e 901 604 -4
e 969 604 12
e 902 604 13
e 397 604 -5
e 979 604 10
e 306 604 0
e 542 604 2
e 31 604 1
e 531 604 11
e 551 605 0
e 343 605 9
e 108 605 11
e 60 605 -6
e 427 605 4
e 336 605 20
e 267 605 -9
e 908 605 -9
e 221 605 10
e 107 605 8
e 34 605 -1
e 404 605 9
e 333 605 10
e 441 605 17
e 586 605 -10
e 191 605 -9
e 446 605 -3
e 799 605 -6
e 401 605 9
e 140 605 18
e 682 605 19
e 470 605 0
e 505 605 20
e 526 605 -10
e 699 605 12
e 747 605 -8
e 505 605 10
e 108 605 1
e 850 605 19
e 959 605 7
e 763 605 -1
e 354 605 5
e 260 605 2
e 648 605 18
e 477 605 -4
e 446 605 -3
e 24 605 2
e 718 605 -1
e 880 605 -4
e 483 605 10
e 267 605 20
e 524 606 -6
e 517 606 -5
e 139 606 -10
e 107 606 3
e 596 606 -5
e 907 606 -1
e 812 606 -2
e 647 606 18
e 349 606 -10
e 259 606 -5
e 449 606 -1
e 984 606 7
e 540 606 0
e 520 606 18
e 430 606 0
e 503 606 11
e 9 606 2
e 728 606 -7
e 545 606 16
e 613 606 12
e 418 606 19
e 723 606 17
e 646 606 -6
e 261 606 -9
e 742 606 9
e 768 606 10
e 272 606 10
e 671 606 4
e 987 606 -7
e 135 606 5
e 311 606 18
e 862 606 10
e 776 606 15
e 824 606 -2
e 565 606 19
e 338 606 13
e 1019 606 -5
e 3 606 18
e 392 606 10
e 751 606 17
e 453 606 15
e 894 606 -4
e 371 606 2
e 397 606 -4
e 377 606 18
e 99 606 -8
e 892 606 4
e 998 606 10
e 177 606 9
e 526 606 10
e 751 606 -6
e 155 606 -5
e 9 606 12
e 771 606 20
e 858 606 2
e 175 606 12
e 417 606 -2
e 870 606 20
e 784 606 -9
e 522 606 16
e 927 606 8
e 898 606 10
e 422 606 14
e 503 606 14
e 683 606 -8
e 579 606 5
e 632 606 10
e 934 606 1
e 113 606 2
e 955 606 8
e 805 606 -2
e 683 606 5
e 547 606 11
e 929 606 -5
e 527 606 5
e 382 606 -9
e 757 606 17
e 973 606 3
e 220 606 19
e 1017 606 13
e 671 606 -2
e 701 606 -6
e 760 606 -9
e 477 606 1
e 596 607 -7
e 94 607 -1
e 947 607 20
e 237 607 16
e 927 607 8
e 815 607 11
e 934 607 -7
e 458 607 16
e 319 607 16
e 133 607 -10
e 523 607 12
e 685 607 16
e 346 607 2
e 183 607 11
e 753 607 3
e 294 607 5
e 779 607 -1
e 176 607 3
e 925 607 7
e 412 607 17
e 734 607 5
e 622 607 17
e 775 607 14
e 966 607 4
e 855 607 13
e 390 607 8
e 603 607 17
e 819 607 17
e 364 607 -4
e 926 607 -9
e 377 607 9
e 963 607 -9
e 263 607 14
e 241 607 11
e 885 607 14
e 555 607 1
e 389 607 8
e 207 607 -9
e 792 607 2
e 117 607 20
e 569 607 19
e 538 607 1
e 861 607 15
e 638 607 -5
e 745 607 17
e 970 607 18
e 1013 607 -3
e 630 607 -10
e 80 607 3
e 362 607 8
e 452 607 -1
e 355 607 -10
e 155 607 1
e 921 607 15
e 865 607 9
e 927 607 11
e 1004 607 8
e 138 607 -5
e 410 607 3
e 341 607 19
e 218 607 7
e 132 607 8
e 1006 607 16
e 211 608 13
e 470 608 -2
e 549 608 8
e 614 608 4
e 600 608 7
e 332 608 7
e 843 608 20
e 116 608 20
e 98 608 18
e 402 608 -1
e 289 608 -5
e 347 608 -10
e 505 608 9
e 757 608 -8
e 865 608 8
e 940 608 20
e 809 608 6
e 742 608 12
e 11 608 7
e 601 608 2
e 900 608 13
e 635 608 19
e 482 608 -8
e 826 608 20
e 157 608 -4
e 238 608 12
e 746 608 -5
e 396 608 -2
e 142 608 15
e 540 608 3
e 752 608 -8
e 109 608 19
e 115 608 -1
e 263 608 2
e 514 608 7
e 353 608 19
e 749 608 13
e 596 608 -10
e 755 608 13
e 720 608 14
e 672 608 11
e 718 608 -10
e 473 608 3
e 645 608 15
e 181 608 14
e 481 608 2
e 654 608 -7
e 49 608 -2
e 856 608 -6
e 32 608 -9
e 818 608 15
e 998 608 -2
e 59 608 4
e 447 608 1
e 679 608 -7
e 156 608 0
e 786 608 0
e 281 608 6
e 787 608 -2
e 688 608 13
e 21 608 15
e 300 608 4
e 98 608 9
e 608 608 -6
e 641 608 -10
e 24 608 13
e 706 608 17
e 592 608 -5
e 791 608 9
e 420 608 9
e 293 608 12
e 520 608 -3
e 667 608 -8
e 441 608 17
e 963 608 5
e 116 608 11
e 87 608 -3
e 741 608 5
e 661 608 15
e 610 608 7
e 149 608 13
e 148 609 -5
e 272 609 5
e 77 609 19
e 512 609 -7
e 196 609 -10
e 888 609 14
e 619 609 -2
e 778 609 15
e 498 609 1
e 655 609 14
e 175 609 17
e 947 609 13
e 67 609 20
e 180 609 14
e 379 609 1
e 614 609 -10
e 628 609 0
e 891 609 7
e 3 609 4
e 257 609 11
e 595 609 9
e 44 609 14
e 208 609 -6
e 342 609 3
e 324 609 -1
e 68 609 -8
e 576 609 3
e 427 609 4
e 190 609 7
e 498 609 10
e 260 609 3
e 314 609 5
e 716 609 15
e 156 609 8
e 161 609 5
e 177 609 9
e 652 609 5
e 344 609 9
e 598 610 -2
e 161 610 1
e 540 610 5
e 869 610 5
e 757 610 9
e 949 610 -8
e 245 610 5
e 875 610 -8
e 744 610 -4
e 732 610 10
e 1000 610 -1
e 779 610 12
e 815 610 14
e 29 610 10
e 553 610 8
e 13 610 0
e 205 610 2
e 417 610 -6
e 46 610 0
e 925 610 16
e 845 610 -10
e 54 610 4
e 562 610 1
e 201 610 20
e 827 610 -9
e 461 610 -5
e 691 610 5
e 775 610 9
e 166 610 -9
e 1020 610 -10
e 244 610 0
e 172 610 19
e 421 610 11
e 637 610 -8
e 892 610 8
e 374 610 -3
e 207 610 9
e 429 610 18
e 662 610 1
e 259 610 17
e 961 610 6
e 270 610 -8
e 719 610 8
e 343 610 13
e 412 610 9
e 454 610 9
e 890 610 -3
e 346 610 -1
e 388 610 5
e 285 610 10
e 303 610 7
e 856 610 -5
e 290 610 -7
e 771 610 -9
e 72 610 -2
e 895 610 11
e 803 610 -8
e 136 610 4
e 867 610 20
e 613 610 6
e 439 610 8
e 609 610 -3
e 483 610 15
e 895 610 9
e 275 610 20
e 874 610 8
e 622 610 15
e 939 610 19
e 495 610 -9
e 798 610 14
e 368 610 -6
e 935 610 17
e 8 610 16
e 863 611 10
e 904 611 16
e 695 611 13
e 385 611 3
e 115 611 1
e 472 611 19
e 731 611 11
e 674 611 14
e 852 611 18
e 34 611 11
e 205 611 6
e 583 611 0
e 345 611 7
e 885 611 5
e 797 611 0
e 137 611 8
e 109 611 18
e 535 611 14
e 818 611 16
e 757 611 -4
e 911 611 -10
e 1022 611 7
e 452 611 2
e 272 611 16
e 850 611 18
e 855 611 -7
e 864 611 12
e 206 611 19
e 605 611 15
e 258 611 -8
e 231 611 -4
e 794 611 12
e 491 611 -9
e 276 611 0
e 14 611 13
e 81 611 -7
e 588 611 8
e 852 611 -6
e 991 611 5
e 199 611 0
e 867 611 -6
e 958 611 4
e 311 611 14
e 320 611 9
e 294 611 11
e 772 611 2
e 839 611 -6
e 888 611 3
e 33 611 -5
e 775 611 6
e 19 611 7
e 668 611 -4
e 500 611 -4
e 866 611 16
e 246 611 11
e 975 611 17
e 464 611 18
e 480 611 -3
e 796 611 1
e 678 611 -8
e 253 611 -9
e 769 611 4
e 6 611 -10
e 428 611 6
e 855 611 14
e 633 611 0
e 521 611 7
e 734 611 10
e 973 611 1
e 945 611 10
e 207 611 17
e 48 611 4
e 225 611 -5
e 580 611 9
e 469 611 -4
e 7 611 -7
e 298 611 -2
e 643 611 -7
e 236 611 9
e 445 611 -10
e 981 611 -6
e 498 611 -2
e 184 611 16
e 544 611 -10
e 288 611 -2
e 968 611 -3
e 820 611 17
e 1010 611 -3
e 733 611 -5
e 371 611 11
e 555 611 -10
e 107 611 17
e 245 611 -3
e 785 611 18
e 499 612 8
e 794 612 -4
e 447 612 6
e 145 612 -3
e 431 612 19
e 444 612 16
e 166 612 11
e 424 612 8
e 76 612 -9
e 625 612 16
e 938 612 -3
e 110 612 17
e 1012 612 -5
e 425 612 11
e 933 612 -2
e 402 612 15
e 977 612 0
e 244 612 19
e 951 612 16
e 551 612 0
e 663 612 -2
e 392 612 17
e 963 612 12
e 550 612 20
e 247 612 20
e 702 612 15
e 749 612 11
e 746 612 2
e 45 612 -9
e 149 612 -5
e 547 612 13
e 434 612 10
e 115 612 4
e 557 612 -6
e 657 612 11
e 546 612 -3
e 908 612 -9
e 78 612 15
e 42 612 -1
e 195 612 8
e 826 612 7
e 991 612 -1
e 38 612 4
e 382 612 1
e 968 612 5
e 111 612 16
e 894 612 6
e 549 612 -6
e 641 612 0
e 687 612 3
e 370 612 5
e 235 612 18
e 54 612 6
e 758 612 -8
e 516 612 19
e 742 612 -6
e 956 612 -4
e 422 613 18
e 179 613 3
e 836 613 -10
e 189 613 0
e 490 613 -7
e 613 613 -6
e 519 613 -8
e 801 613 4
e 855 613 5
e 65 613 12
e 590 613 18
e 885 613 7
e 185 613 10
e 505 614 -7
e 806 614 -9
e 61 614 18
e 276 614 -4
e 147 614 5
e 962 614 13
e 653 614 11
e 882 614 -10
e 421 614 19
e 382 614 -3
e 299 614 14
e 1007 614 -4
e 130 614 11
e 844 614 19
e 908 614 4
e 688 614 3
e 867 614 4
e 543 614 -3
e 842 614 -9
e 794 614 14
e 483 614 -4
e 881 614 9
e 674 614 -6
e 601 614 -2
e 897 614 3
e 958 614 6
e 757 614 -10
e 475 614 -7
e 545 614 -9
e 263 614 13
e 842 614 -8
e 466 614 -5
e 140 614 -10
e 336 614 14
e 715 614 8
e 949 614 19
e 236 614 5
e 290 614 -7
e 836 614 -1
e 191 614 19
e 848 614 14
e 291 615 2
e 924 615 8
e 598 615 6
e 491 615 8
e 979 615 19
e 664 615 -4
e 107 615 -3
e 922 615 17
e 887 615 20
e 427 615 -7
e 793 615 -7
e 170 615 -10
e 964 615 -2
e 829 615 -10
e 254 615 20
e 442 615 0
e 868 615 5
e 72 615 0
e 1007 615 9
e 806 616 17
e 565 616 16
e 629 616 -4
e 955 616 12
e 761 616 7
e 713 616 8
e 328 616 9
e 456 616 -7
e 297 616 -6
e 467 616 2
e 167 616 -4
e 616 616 11
e 356 616 -10
e 356 616 9
e 48 616 7
e 814 616 16
e 730 616 6
e 818 616 2
e 70 616 19
e 145 616 9
e 704 616 1
e 790 616 -2
e 144 616 -10
e 109 616 -2
e 719 616 18
e 399 616 14
e 633 616 8
e 129 616 9
e 963 616 -8
e 574 616 4
e 942 616 2
e 242 616 -7
e 988 616 10
e 616 616 19
e 162 616 3
e 710 616 -5
e 352 616 12
e 888 616 13
e 781 616 12
e 618 616 8
e 278 616 19
e 378 616 -9
e 105 616 -9
e 557 616 -4
e 204 616 -2
e 416 616 3
e 116 616 16
e 194 616 4
e 467 616 13
e 193 616 -10
e 945 616 2
e 962 616 0
e 894 616 -7
e 469 616 9
e 487 616 11
e 552 616 -6
e 423 616 -7
e 123 616 14
e 160 616 20
e 723 616 16
e 810 616 -5
e 883 616 5
e 427 616 -8
e 776 616 15
e 104 616 -7
e 804 616 0
e 410 616 19
e 237 616 15
e 453 616 -8
e 23 616 3
e 581 616 -4
e 527 616 10
e 553 616 -4
e 377 616 16
e 325 616 -4
e 477 616 3
e 387 616 -4
e 925 616 20
e 667 617 -7
e 916 617 18
e 1005 617 14
e 542 617 -9
e 947 617 2
e 285 617 -10
e 257 617 -6
e 742 617 20
e 118 617 12
e 434 617 -4
e 961 617 -4
e 839 617 -6
e 612 617 13
e 980 617 -2
e 952 617 -3
e 28 617 13
e 562 617 0
e 726 617 14
e 996 617 1
e 340 617 -3
e 71 617 7
e 868 617 5
e 823 617 6
e 47 618 8
e 1017 618 7
e 419 618 -10
e 273 618 -7
e 124 618 20
e 186 618 15
e 200 618 11
e 666 618 10
e 898 618 16
e 168 618 6
e 103 618 -2
e 920 618 13
e 517 618 7
e 921 618 3
e 21 618 -1
e 323 618 11
e 10 618 -5
e 715 618 9
e 1002 618 18
e 378 618 8
e 861 618 -3
e 861 618 18
e 772 618 8
e 317 618 -4
e 523 618 12
e 209 618 14
e 514 618 8
e 819 618 12
e 232 618 19
e 913 618 15
e 393 618 -7
e 549 618 -7
e 523 618 15
e 871 618 -10
e 195 618 -9
e 897 618 -1
e 845 618 -3
e 515 618 5
e 987 618 -2
e 472 618 6
e 205 618 -5
e 377 618 -3
e 642 618 7
e 864 618 20
e 878 618 10
e 704 618 10
e 621 618 1
e 115 618 -8
e 855 618 19
e 665 619 19
e 589 619 5
e 65 619 -5
e 490 619 15
e 984 619 1
e 720 619 3
e 645 619 20
e 797 619 1
e 1002 619 12
e 266 619 13
e 703 619 6
e 185 619 -1
e 185 619 -4
e 814 619 10
e 433 619 17
e 667 619 8
e 514 619 5
e 992 619 -10
e 51 619 14
e 338 619 0
e 470 619 -6
e 699 619 8
e 943 619 5
e 675 619 8
e 281 619 1
e 206 619 19
e 678 619 -1
e 518 619 15
e 6 619 14
e 283 619 16
e 298 619 9
e 295 619 11
e 680 619 2
e 278 619 3
e 354 619 12
e 102 619 -10
e 355 619 8
e 300 619 8
e 9 619 -9
e 856 619 16
e 361 619 -1
e 313 619 15
e 239 619 1
e 324 619 2
e 325 619 2
e 273 619 11
e 886 619 -7
e 422 619 5
e 340 619 -9
e 248 619 15
e 791 619 -10
e 175 619 18
e 70 619 -4
e 554 619 13
e 987 619 4
e 963 619 18
e 930 619 4
e 852 619 -8
e 738 619 4
e 506 619 18
e 63 619 8
e 280 619 6
e 735 619 3
e 159 619 -6
e 716 619 15
e 653 619 7
e 153 619 -4
e 948 619 12
e 73 619 7
e 445 619 8
e 876 619 -9
e 620 619 3
e 651 619 11
e 38 619 9
e 454 619 -9
e 944 619 -8
e 188 619 19
e 825 619 -10
e 427 619 -2
e 667 619 13
e 984 619 -2
e 222 619 -3
e 306 619 5
e 765 619 -9
e 818 619 -3
e 1005 619 19
e 773 619 13
e 476 619 13
e 237 619 -8
e 183 619 15
e 741 619 18
e 494 619 1
e 644 619 -8
e 379 619 -6
e 547 619 10
e 33 619 -9
e 322 619 13
e 753 619 13
e 40 619 6
e 19 619 -2
e 482 620 13
e 341 620 -2
e 872 620 -4
e 472 620 -8
e 577 620 -7
e 181 620 8
e 0 620 20
e 299 620 -10
e 1022 620 16
e 133 620 3
e 497 620 20
e 329 620 9
e 704 620 -7
e 691 620 6
e 918 620 3
e 97 620 2
e 822 620 -4
e 592 620 18
e 398 620 17
e 263 620 7
e 398 620 5
e 530 620 11
e 314 620 18
e 178 620 -7
e 1022 620 -10
e 723 620 2
e 834 620 7
e 574 620 11
e 319 620 15
e 528 620 -6
e 529 620 2
e 107 620 10
e 781 620 9
e 107 620 -7
e 84 620 -6
e 92 620 -6
e 168 620 1
e 42 620 13
e 895 620 20
e 24 620 13
e 342 620 0
e 949 620 16
e 584 620 3
e 892 621 -1
e 528 621 13
e 14 621 -2
e 366 621 0
e 891 621 -4
e 884 621 1
e 856 621 5
e 506 621 -2
e 206 621 -4
e 276 621 16
e 832 621 18
e 731 621 20
e 558 621 1
e 113 621 19
e 602 621 8
e 63 621 16
e 553 621 13
e 385 621 0
e 331 621 -2
e 261 621 -7
e 926 621 4
e 815 621 -3
e 848 621 0
e 833 621 16
e 581 621 14
e 985 621 18
e 696 621 -2
e 188 621 19
e 804 621 4
e 465 621 4
e 357 621 11
e 881 621 5
e 282 621 -2
e 990 621 7
e 335 621 -5
e 528 621 -3
e 345 621 -1
e 440 621 4
e 256 621 12
e 127 621 19
e 996 621 -10
e 142 621 -7
e 25 621 2
e 84 621 -6
e 21 621 10
e 899 621 -1
e 293 622 19
e 157 622 -1
e 794 622 -9
e 867 622 2
e 957 622 15
e 864 622 18
e 174 622 2
e 569 622 -6
e 212 622 5
e 833 622 -9
e 58 622 1
e 493 622 20
e 541 622 -1
e 136 622 13
e 323 622 15
e 807 622 19
e 654 622 -1
e 736 622 11
e 464 622 -2
e 311 622 17
e 225 622 -3
e 985 622 16
e 239 622 -3
e 141 622 6
e 534 622 -2
e 359 622 -5
e 304 622 -7
e 318 622 1
e 1007 622 -6
e 262 623 6
e 1019 623 14
e 973 623 5
e 899 623 13
e 860 623 13
e 710 623 -7
e 716 623 5
e 316 623 14
e 480 623 -3
e 625 623 -1
e 815 623 -1
e 333 623 18
e 390 623 1
e 153 623 -9
e 136 623 -7
e 191 623 3
e 151 623 19
e 721 623 -4
e 504 623 -1
e 205 623 -10
e 817 623 3
e 800 623 4
e 694 623 15
e 872 623 1
e 965 623 8
e 126 623 4
e 655 623 17
e 948 623 6
e 920 623 -2
e 859 623 15
e 608 623 12
e 649 623 10
e 835 623 18
e 537 623 -1
e 158 623 -1
e 754 623 10
e 819 623 14
e 397 623 -5
e 463 623 7
e 689 623 -3
e 42 623 17
e 385 623 12
e 270 623 -3
e 697 623 14
e 955 623 -9
e 309 623 10
e 139 623 3
e 947 623 8
e 210 623 2
e 985 623 -6
e 520 623 7
e 634 623 -7
e 42 623 12
e 277 623 -2
e 861 623 -3
e 158 623 1
e 213 623 20
e 385 623 -4
e 757 623 10
e 229 623 2
e 183 623 -10
e 813 623 -2
e 79 623 5
e 965 623 -10
e 267 623 1
e 539 623 -7
e 126 623 5
e 1003 623 6
e 733 623 -8
e 192 623 -10
e 681 623 15
e 696 623 4
e 910 623 19
e 135 623 4
e 140 623 17
e 190 623 19
e 340 623 9
e 590 623 6
e 470 624 20
e 98 624 11
e 248 624 -1
e 444 624 -6
e 174 624 -7
e 28 624 15
e 952 624 0
e 853 624 5
e 152 624 -6
e 799 624 -2
e 745 624 -1
e 780 624 -7
e 754 624 2
e 701 624 15
e 891 624 17
e 597 624 -8
e 479 624 15
e 814 624 -3
e 99 624 -3
e 203 624 -6
e 710 624 9
e 526 624 -5
e 282 624 -10
e 683 624 10
e 210 624 -7
e 221 624 -6
e 27 624 -1
e 856 624 -3
e 880 624 7
e 894 624 9
e 360 624 -4
e 981 624 -8
e 211 624 -3
e 697 624 10
e 262 624 14
e 334 624 17
e 115 624 9
e 697 624 -9
e 381 624 16
e 912 624 -6
e 394 624 10
e 398 624 -7
e 601 624 -2
e 908 624 5
e 406 624 -7
e 428 624 -8
e 683 624 -7
e 472 624 -1
e 730 624 -2
e 107 624 -1
e 904 624 17
e 301 624 -4
e 732 624 1
e 133 624 17
e 649 624 -6
e 234 624 -10
e 232 624 6
e 155 624 17
e 74 624 -6
e 912 624 1
e 140 624 9
e 432 624 3
e 748 624 -1
e 324 624 17
e 26 624 5
e 428 624 -4
e 147 624 1
e 592 624 -4
e 810 624 8
e 474 624 10
e 487 624 -8
e 419 624 5
e 277 624 19
e 362 624 15
e 151 624 9
e 844 624 4
e 891 624 -8
e 1008 624 7
e 852 625 2
e 70 625 -9
e 769 625 4
e 551 625 -8
e 2 625 17
e 249 625 7
e 653 625 2
e 319 626 13
e 161 626 17
e 57 626 8
e 869 626 17
e 487 626 4
e 680 626 5
e 395 626 12
e 214 626 -8
e 773 626 -8
e 1019 626 -4
e 236 626 2
e 123 626 -1
e 221 626 0
e 3 626 20
e 531 626 6
e 191 626 19
e 568 626 -5
e 206 626 12
e 123 626 1
e 499 626 17
e 739 626 -4
e 397 626 4
e 483 626 1
e 201 626 -6
e 558 626 10
e 278 626 -10
e 204 626 -6
e 217 626 16
e 366 626 -9
e 98 626 9
e 767 626 12
e 799 626 14
e 635 626 -3
e 272 626 10
e 4 626 14
e 123 626 -9
e 563 626 2
e 993 626 1
e 940 626 -5
e 48 626 11
e 757 626 8
e 826 626 -4
e 136 626 -7
e 767 627 -10
e 79 627 -4
e 542 627 3
e 706 627 17
e 580 627 -6
e 36 627 12
e 27 627 18
e 527 627 18
e 665 627 3
e 208 627 6
e 808 627 11
e 178 627 -8
e 260 627 16
e 128 627 -6
e 996 627 -5
e 325 627 -5
e 476 627 9
e 854 627 0
e 130 627 -10
e 146 627 15
e 336 627 -8
e 1001 627 0
e 329 627 -4
e 539 627 0
e 991 627 11
e 962 627 -5
e 277 627 20
e 147 627 10
e 737 627 1
e 993 627 3
e 468 627 0
e 610 627 7
e 252 627 8
e 310 627 16
e 266 627 -6
e 726 628 14
e 909 628 17
e 877 628 15
e 982 628 -6
e 520 628 20
e 166 628 1
e 655 628 18
e 313 628 17
e 822 628 5
e 906 628 -1
e 245 628 4
e 104 628 16
e 57 628 -1
e 460 628 20
e 473 628 -8
e 874 628 -9
e 75 628 19
e 390 628 11
e 280 628 14
e 521 628 2
e 653 628 3
e 980 628 8
e 435 628 7
e 84 628 16
e 130 628 11
e 855 628 -5
e 82 628 6
e 286 628 -4
e 146 628 5
e 691 628 2
e 444 628 17
e 125 628 -1
e 136 628 1
e 785 628 -3
e 353 628 5
e 587 628 6
e 21 628 7
e 670 628 1
e 976 628 15
e 168 628 14
e 843 628 6
e 777 628 12
e 321 628 18
e 630 628 5
e 291 628 15
e 9 628 4
e 12 628 8
e 475 628 20
e 503 628 -10
e 469 628 18
e 816 628 5
e 707 628 0
e 520 628 11
e 938 628 10
e 205 628 14
e 348 628 0
e 1017 628 15
e 585 628 14
e 170 628 1
e 152 628 1
e 850 628 18
e 631 628 -6
e 688 628 14
e 175 628 15
e 767 628 5
e 891 628 20
e 365 628 7
e 410 628 -5
e 974 628 13
e 419 628 0
e 522 629 17
e 374 629 2
e 293 629 -1
e 221 629 -5
e 967 629 20
e 468 629 2
e 225 629 -7
e 107 629 -6
e 930 629 7
e 255 629 17
e 994 629 -10
e 954 629 -7
e 448 629 3
e 345 629 3
e 138 629 -3
e 306 629 -10
e 222 629 -8
e 117 629 -7
e 527 629 18
e 690 629 8
e 714 629 12
e 923 629 14
e 250 629 12
e 524 629 3
e 232 629 16
e 72 629 3
e 935 629 -10
e 390 629 3
e 175 629 11
e 172 629 7
e 712 629 9
e 90 629 -7
e 42 629 11
e 42 629 4
e 482 629 1
e 822 629 0
e 631 629 -1
e 987 629 -4
e 974 629 14
e 189 629 19
e 75 629 -10
e 779 629 -3
e 825 629 1
e 517 629 7
e 108 629 -5
e 955 629 -4
e 804 629 -4
e 929 630 -8
e 786 630 -4
e 452 630 17
e 1009 630 10
e 307 630 12
e 44 630 12
e 103 630 11
e 57 630 3
